Index,Time,Time_Diff,Output
393,1.165863,0.001736,0.077680
394,1.167716,0.001853,0.069104
395,1.169284,0.001568,0.058224
396,1.171133,0.001849,0.056674
397,1.172894,0.001761,0.085015
398,1.174680,0.001786,0.080259
399,1.176477,0.001797,0.064569
400,1.178168,0.001691,0.040895
401,1.179740,0.001572,0.037684
402,1.181389,0.001649,0.031972
403,1.183015,0.001626,0.027686
404,1.184595,0.001580,0.031165
405,1.186150,0.001555,0.020025
406,1.187782,0.001632,0.011757
407,1.189453,0.001671,0.000385
408,1.191190,0.001737,0.004043
409,1.195127,0.003937,0.010006
410,1.199225,0.004098,-0.007663
411,1.204689,0.005464,-0.009715
412,1.208791,0.004102,-0.013915
413,1.212903,0.004112,-0.017098
414,1.216839,0.003936,-0.007678
415,1.220637,0.003798,-0.027299
416,1.224386,0.003749,-0.059783
417,1.228734,0.004348,-0.065659
418,1.232551,0.003817,-0.078284
419,1.236438,0.003887,-0.078721
420,1.240337,0.003899,-0.056638
421,1.244084,0.003747,-0.054901
422,1.247940,0.003856,-0.043927
423,1.251791,0.003851,-0.043145
424,1.255565,0.003774,-0.051039
425,1.259270,0.003705,-0.049925
426,1.263019,0.003749,-0.025558
427,1.266815,0.003796,-0.031124
428,1.270681,0.003866,-0.036725
429,1.274495,0.003814,-0.012495
430,1.278636,0.004141,0.013016
431,1.282684,0.004048,0.002283
432,1.286622,0.003938,0.004074
433,1.290461,0.003839,0.034045
434,1.294328,0.003867,0.034956
435,1.298188,0.003860,0.064916
436,1.302046,0.003858,0.038531
437,1.305912,0.003866,0.057094
438,1.309861,0.003949,0.041126
439,1.313646,0.003785,0.023552
440,1.317502,0.003856,0.002829
441,1.321399,0.003897,-0.007183
442,1.325216,0.003817,-0.003531
443,1.329068,0.003852,-0.024849
444,1.332788,0.003720,-0.055978
445,1.336637,0.003849,-0.124238
446,1.341731,0.005094,-0.157482
447,1.345694,0.003963,-0.182442
448,1.349375,0.003681,-0.184304
449,1.353185,0.003810,-0.212192
450,1.357030,0.003845,-0.250097
451,1.360931,0.003901,-0.275294
452,1.364730,0.003799,-0.341772
453,1.368634,0.003904,-0.342941
454,1.372373,0.003739,-0.355732
455,1.376423,0.004050,-0.384587
456,1.380339,0.003916,-0.411094
457,1.384029,0.003690,-0.499421
458,1.387908,0.003879,-0.531283
459,1.391826,0.003918,-0.685694
460,1.395644,0.003818,-0.749438
461,1.399385,0.003741,-0.868360
462,1.403177,0.003792,-0.941917
463,1.406865,0.003688,-0.999694
464,1.410765,0.003900,-1.039956
465,1.414462,0.003697,-1.096577
466,1.418138,0.003676,-1.122510
467,1.421943,0.003805,-1.232166
468,1.425929,0.003986,-1.236169
469,1.430004,0.004075,-1.342632
470,1.434072,0.004068,-1.385477
471,1.438208,0.004136,-1.450711
